Housed non-president staff person?	Institution	Rank	Year Benefits received
Employee received temporary housing allowance in conjunction with his relocation	Loyola Marymount University	210	2011
No housing allowance/residence for senior staff	Arcadia University	211	2010
No housing allowance/residence for senior staff	Davidson College	212	2010
No housing allowance/residence for senior staff	Bethune-Cookman University	213	2010
No housing allowance/residence for senior staff	Saint Michael's College	214	2010
Associate Provost	Simmons College	215	2010
No housing allowance/residence for senior staff	Susquehanna University	216	2010
No housing allowance/residence for senior staff	Lake Forest College	217	2011
No housing allowance/residence for senior staff	Mercer University	218	2010
No housing allowance/residence for senior staff	Milwaukee School of Engineering	219	2011
"Director of Safety & Security, Dean of Students"	Philadelphia University	220	2010
No housing allowance/residence for senior staff	University of La Verne	221	2010
Unclear if president or senior staff received benefits	Aurora University	222	2011
No housing allowance/residence for senior staff	Ithaca College	223	2011
No housing allowance/residence for senior staff	University of Detroit Mercy	224	2010
Unclear if president or senior staff received benefits	Ashland University	225	2010
No housing allowance/residence for senior staff	Seattle Pacific University	226	2010
No housing allowance/residence for senior staff	Spelman College	227	2010
No housing allowance/residence for senior staff	Carroll University	228	2011
Provided for employees required to live in college housing	Williams College	229	2010
Provided to officer(s) and vice president(s) required to live on campus.	Berry College	230	2010
Unclear if president or senior staff received benefits	Whittier College	231	2011
No housing allowance/residence for senior staff	Wheaton College (Ill.)	232	2010
"Provost, Dean of Students"	Wheaton College (Mass.)	233	2010
No housing allowance/residence for senior staff	Stetson University	234	2010
